"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"4908","209138_x_at",0.767010724865917,-0.0958626211216537,3.6582141648298,0.000604189160904081,0.00269335853016148,-1.22690019478126,"IGLC1","immunoglobulin lambda constant 1"
"4909","209138_x_at",0.767010724865917,-0.0958626211216537,3.6582141648298,0.000604189160904081,0.00269335853016148,-1.22690019478126,"IGLJ3","immunoglobulin lambda joining 3"
"2288","202633_at",0.426649954945084,0.0910539215397298,3.65807327884718,0.000604451475523362,0.00269430820350887,-1.22731345010244,"TOPBP1","DNA topoisomerase II binding protein 1"
"14319","237817_at",0.252738390852299,-0.010559729835996,3.65798258134248,0.000604620402294476,0.00269484148491485,-1.22757948464783,"SSR3","signal sequence receptor subunit 3"
"8853","219818_s_at",0.457480312539224,0.0659128787062369,3.65780452598796,0.00060495216719576,0.00269610040279004,-1.22810174671189,"GPATCH1","G-patch domain containing 1"
"365","1554749_s_at",0.26045325631477,0.0542429946763847,3.65764791254271,0.000605244124227539,0.00269718171751086,-1.22856110437084,"CLCNKB","chloride voltage-gated channel Kb"
"14422","238425_at",0.339381686216431,0.097311736576234,3.65760026446979,0.000605332976010471,0.00269735782097575,-1.22870085707658,"PSMB2","proteasome 20S subunit beta 2"
"5955","211737_x_at",-1.10046705305746,-0.231829832299601,-3.65736266173568,0.000605776232461271,0.00269911299077663,-1.22939773465899,"PTN","pleiotrophin"
"13359","233070_at",-0.23620600660479,-0.00181368420762668,-3.65713696769547,0.000606197560768174,0.00270077017886244,-1.23005966028357,"ZNF197","zinc finger protein 197"
"2727","203639_s_at",-1.10378577984937,-0.13387008530133,-3.65690299448787,0.000606634641092601,0.0027023162030138,-1.23074584240341,"FGFR2","fibroblast growth factor receptor 2"
"3969","206263_at",0.390744331674877,0.0244197167933282,3.65689829585651,0.000606643421596551,0.0027023162030138,-1.23075962199732,"FMO4","flavin containing dimethylaniline monoxygenase 4"
"9510","221967_at",0.249799290140817,0.00775414632576725,3.65681482335734,0.000606799429998983,0.00270279094380403,-1.23100441862151,"NXPH4","neurexophilin 4"
"9011","220197_at",0.662797218580627,0.275772400796216,3.65605311753007,0.000608224819420114,0.00270891919206539,-1.23323809454177,"ATP6V0A4","ATPase H+ transporting V0 subunit a4"
"1192","1568639_a_at",-0.382750845223361,-0.0187112664312184,-3.6557927206686,0.000608712838545362,0.00271087191068401,-1.23400163736832,"GATA2-AS1","GATA2 antisense RNA 1"
"12985","231295_at",0.23247635665859,0.0600755811069399,3.65572405608655,0.000608841587794653,0.00271122445126834,-1.23420297228198,"ME3","malic enzyme 3"
"1432","200767_s_at",0.432429758843549,0.0162377467534614,3.6556373082536,0.000609004281269035,0.00271150725394011,-1.23445732687731,"FAM120A","family with sequence similarity 120 member A"
"3566","205403_at",-1.22122751887562,0.473217866591112,-3.65564144160956,0.00060899652831448,0.00271150725394011,-1.23444520748304,"IL1R2","interleukin 1 receptor type 2"
"10169","223715_at",0.197671436671484,0.0139979438267034,3.6553621097667,0.000609520685092618,0.00271358549445802,-1.23526421721666,"BRSK2","BR serine/threonine kinase 2"
"13556","234419_x_at",0.803493858634657,0.243163942182774,3.65529354045404,0.000609649419144239,0.00271393763163257,-1.23546525904084,"IGHA1","immunoglobulin heavy constant alpha 1"
"13557","234419_x_at",0.803493858634657,0.243163942182774,3.65529354045404,0.000609649419144239,0.00271393763163257,-1.23546525904084,"IGHG1","immunoglobulin heavy constant gamma 1 (G1m marker)"
"13558","234419_x_at",0.803493858634657,0.243163942182774,3.65529354045404,0.000609649419144239,0.00271393763163257,-1.23546525904084,"IGHG3","immunoglobulin heavy constant gamma 3 (G3m marker)"
"13559","234419_x_at",0.803493858634657,0.243163942182774,3.65529354045404,0.000609649419144239,0.00271393763163257,-1.23546525904084,"IGHM","immunoglobulin heavy constant mu"
"13560","234419_x_at",0.803493858634657,0.243163942182774,3.65529354045404,0.000609649419144239,0.00271393763163257,-1.23546525904084,"IGHV4-31","immunoglobulin heavy variable 4-31"
"13561","234419_x_at",0.803493858634657,0.243163942182774,3.65529354045404,0.000609649419144239,0.00271393763163257,-1.23546525904084,"IGHV3-11","immunoglobulin heavy variable 3-11"
"657","1556898_at",-0.212455433324611,0.0235398505354832,-3.65495883588458,0.000610278177342605,0.00271651545601294,-1.23644656481429,NA,NA
"1474","200855_at",-0.294541254163069,-0.0168949592095031,-3.65466350959302,0.000610833477436238,0.00271876590514704,-1.23731237580327,"NCOR1","nuclear receptor corepressor 1"
"13620","234977_at",-0.59670618085432,-0.0775515454689346,-3.65458849182815,0.000610974609921212,0.00271917271448452,-1.23753229965162,"PTGR3","prostaglandin reductase 3"
"14771","239771_at",0.718086402979096,0.262814507073716,3.65444826251015,0.000611238510035241,0.00272012579653075,-1.23794339219748,"CAND1","cullin associated and neddylation dissociated 1"
"5152","209577_at",0.300706547589757,0.0658605645432879,3.65437989070139,0.000611367219785951,0.0027204771499794,-1.23814382585528,"PCYT2","phosphate cytidylyltransferase 2, ethanolamine"
